RespondentID,Date,Question,Answer,Region,AgeGroup,Gender
b22eeb84-3ce7-4db0-9504-e28f346c15f2,2026-03-27,Which feature should we prioritize next?,Export to PDF,South,18-24,Female
b423d75f-3a39-4f63-bb3a-6eda8ad5bd3b,2026-04-09,Which feature should we prioritize next?,Real-time Sync,West,18-24,Male
4bba7185-a4dd-4ee6-90a9-3162e25de9a6,2026-04-07,Which feature should we prioritize next?,Dark Mode,Central,25-34,Female
4a811877-850a-4181-9a32-fd15d68b2d3c,2026-04-04,Which feature should we prioritize next?,Export to PDF,Central,35-44,Female
320be2db-cb1e-4ed9-a783-1612ff0a9e51,2026-04-03,Which feature should we prioritize next?,Dark Mode,South,25-34,Female
38924ce6-bbdd-48cb-9bad-70bf6877b416,2026-03-24,Which feature should we prioritize next?,Dark Mode,North,35-44,Female
eac0446a-8987-4bd5-b336-f6ce3402f72d,2026-04-13,Which feature should we prioritize next?,Dark Mode,West,35-44,Female
7c0a8a8d-8db2-48bb-8144-690a9ca74dc7,2026-04-08,Which feature should we prioritize next?,API Access,Central,18-24,Female
a6467333-4478-4854-b5c7-6779f9756deb,2026-04-06,Which feature should we prioritize next?,Mobile App,South,35-44,Female
04b8137a-687c-4f1b-b1f8-f77190c10c92,2026-03-19,Which feature should we prioritize next?,Mobile App,Central,55+,Female
42961296-d9dd-4f05-a37b-208cf8bd4022,2026-04-13,Which feature should we prioritize next?,Dark Mode,West,35-44,Male
86bcf73c-9356-4654-a714-500d7e85c963,2026-04-12,Which feature should we prioritize next?,Real-time Sync,West,35-44,Male
ec1aaffb-f959-4792-b5fa-98e10ae70329,2026-04-11,Which feature should we prioritize next?,API Access,East,25-34,Male
181ec472-b269-4b03-b326-b31147cb98dd,2026-03-23,Which feature should we prioritize next?,Dark Mode,South,45-54,Male
dca8fb87-f9de-4aff-9cd0-e66bb3ad3f8a,2026-04-09,Which feature should we prioritize next?,Dark Mode,West,45-54,Female
1df19be7-035f-46a4-a378-9f54d09a95ed,2026-04-07,Which feature should we prioritize next?,Dark Mode,East,35-44,Female
29653418-d53c-4eb5-8b0b-472b21ef56a8,2026-03-22,Which feature should we prioritize next?,Dark Mode,East,55+,Male
18636725-89c7-4a1a-813e-41fdf74544ef,2026-04-02,Which feature should we prioritize next?,Export to PDF,Central,18-24,Male
2b8aef56-d254-4d48-93dc-fff606613bb4,2026-04-06,Which feature should we prioritize next?,Export to PDF,Central,18-24,Other
3573bb1f-bf9b-437e-8768-e3015a75d731,2026-04-06,Which feature should we prioritize next?,Dark Mode,East,45-54,Male
